course_duration_weeks,prior_courses_completed,session_duration_minutes,engagement_score,age,videos_watched,total_posts,avg_session_duration,activity_rate,study_consistency,completion_status,gender,region,internet_access_type,education_level,employment_status,device_type,learning_goal,course_category,difficulty_level,assessment_type
13.0,11.0,116.0,13.333333333333334,34.0,25.0,10.0,72.2,580.0,1234.62,Ongoing,Non-Binary,Region Ii,Limited,College,Unemployed,Mobile,Skill Upgrade,IT,Intermediate,Final Exam
14.0,9.0,109.2,24.666666666666668,55.0,49.0,4.0,51.2,2293.2000000000003,542.72,Dropped,Female,Region X,Broadband,College,Student,Laptop,Personal Interest,Science,Intermediate,Quiz
11.0,10.0,93.1,25.666666666666668,24.0,50.0,9.0,125.0,1675.8,875.0,Ongoing,Male,Region Xi,Broadband,Graduate,Unemployed,Laptop,Academic Requirement,Math,Intermediate,Assignment
19.0,-7.0,169.0,24.666666666666668,46.0,48.0,10.0,20.1,2704.0,62.31000000000001,Ongoing,Female,Region Vii,Limited,Graduate,Employed,Mobile,Skill Upgrade,Business,Beginner,Quiz
7.0,9.0,67.3,17.666666666666668,41.0,11.0,20.0,150.6,1480.6,1009.02,Ongoing,Male,Ncr,Broadband,College,Student,Mobile,Skill Upgrade,Arts,Intermediate,Quiz
13.0,14.0,137.1,23.0,37.0,30.0,25.0,47.1,1919.4,-402.705,Completed,Other,Region Vi,Mobile,College,Student,Laptop,Career Change,IT,Intermediate,Assignment
13.0,14.0,17.7,2.6666666666666665,50.0,3.0,2.0,90.3,53.1,442.47,Completed,Female,Barmm,Limited,College,Student,Desktop,Career Change,IT,Advanced,Quiz
11.0,0.0,122.2,11.0,50.0,1.0,2.0,15.7,3666.0,53.38,Ongoing,Female,Ncr,Mobile,Graduate,Employed,Desktop,Career Change,IT,Intermediate,Assignment
17.0,7.0,64.2,10.333333333333334,52.0,11.0,15.0,48.3,321.0,850.08,Completed,Female,Region Ix,Limited,College,Employed,Laptop,Academic Requirement,IT,Advanced,Quiz
14.0,2.0,138.2,14.333333333333334,44.0,13.0,7.0,141.8,3178.6,1162.76,Completed,Male,Region Vi,Mobile,College,Student,Laptop,Career Change,IT,Intermediate,Final Exam
24.0,13.0,134.6,21.33333333333333,39.0,31.0,28.0,268.7875,673.0,1612.725,Ongoing,Male,Region Vi,Mobile,Graduate,Student,Mobile,Academic Requirement,Business,Beginner,Quiz
9.0,7.0,52.9,21.0,19.0,23.0,14.0,178.3,1375.4,231.79,Completed,Non-Binary,Ncr,Mobile,Graduate,Employed,Desktop,Personal Interest,Arts,Intermediate,Final Exam
14.0,15.0,60.9,20.0,26.0,24.0,17.0,138.5,1157.1,2562.25,Completed,Female,Region I,Broadband,Graduate,Student,Desktop,Academic Requirement,IT,Intermediate,Final Exam
24.0,12.0,62.4,9.333333333333334,35.5,5.0,14.0,97.1,561.6,1116.65,Completed,Female,Region Ix,Broadband,Graduate,Student,Laptop,Skill Upgrade,Business,Intermediate,Quiz
24.0,5.0,77.3,15.666666666666666,31.0,21.0,13.0,156.1,1004.9,1045.87,Completed,Male,Region Ii,Broadband,College,Student,Laptop,Career Change,Business,Intermediate,Quiz
13.0,5.0,61.5,23.0,52.0,50.0,14.0,91.5,307.5,292.8,Dropped,Female,Region Xi,Broadband,College,Employed,Laptop,Academic Requirement,IT,Advanced,Assignment
21.0,10.0,110.1,18.33333333333333,31.0,30.0,13.0,24.6,1321.1999999999998,484.62,Dropped,Female,Region Vii,Broadband,Graduate,Student,Tablet,Personal Interest,IT,Beginner,Final Exam
16.0,7.0,114.4,8.333333333333334,76.0,0.0,6.0,129.6,2173.6,2099.52,Dropped,Male,Ncr,Broadband,High School,Student,Desktop,Skill Upgrade,IT,Intermediate,Final Exam
20.0,2.0,101.4,24.666666666666668,40.0,35.0,9.0,63.5,3042.0,273.05,Dropped,Male,Ncr,Broadband,College,Employed,Tablet,Skill Upgrade,IT,Intermediate,Quiz
7.0,5.0,85.0,21.33333333333333,44.0,41.0,9.0,15.5,1190.0,24.8,Completed,Male,Region Vi,Mobile,Undergraduate,Student,Laptop,Skill Upgrade,IT,Advanced,Quiz
7.0,10.0,32.6,23.666666666666668,26.0,48.0,12.0,108.2,358.6,1201.02,Dropped,Male,Car,Mobile,High School,Unemployed,Laptop,Skill Upgrade,Business,Advanced,Assignment
22.0,12.0,116.5,3.6666666666666665,16.0,10.0,0.0,82.7,116.5,1174.34,Ongoing,Other,Ncr,Mobile,College,Unemployed,Laptop,Academic Requirement,Business,Intermediate,Quiz
7.0,15.0,25.2,15.666666666666666,41.0,19.0,24.0,158.7,100.8,428.49,Ongoing,Other,Region Ii,Broadband,College,Employed,Laptop,Skill Upgrade,Business,Advanced,Assignment
4.0,4.0,76.6,14.666666666666666,29.0,15.0,3.0,-77.31250000000003,1991.6,-641.6937500000003,Ongoing,Male,Ncr,Broadband,High School,Student,Mobile,Skill Upgrade,Business,Advanced,Quiz
13.0,13.0,117.8,21.33333333333333,-4.0,19.0,23.0,50.6,2591.6,323.84000000000003,Completed,Female,Region Vii,Mobile,High School,Employed,Desktop,,IT,Beginner,Assignment
22.0,3.0,106.4,16.0,47.0,36.0,3.0,268.7875,957.6,913.8775,Dropped,Female,Region Iii,Mobile,College,Student,Laptop,Skill Upgrade,Business,Intermediate,Quiz
14.0,1.0,110.6,31.666666666666668,36.0,46.0,24.0,35.6,2765.0,644.3600000000001,Dropped,Male,Region Vi,Broadband,High School,Unemployed,Desktop,Academic Requirement,Science,Intermediate,Quiz
16.0,13.0,154.7,24.666666666666668,29.0,47.0,14.0,22.7,2011.1,668.515,Completed,Female,Region Iv-A,Limited,High School,Student,Laptop,Academic Requirement,Science,Beginner,Quiz
34.0,2.0,27.3,23.0,45.0,49.0,4.0,78.1,436.8,2300.045,Ongoing,Male,Ncr,Mobile,College,Employed,Mobile,Career Change,Science,Advanced,Quiz
23.0,13.0,57.6,21.666666666666668,37.0,33.0,25.0,13.3,403.2,139.65,Ongoing,Female,Ncr,Mobile,Graduate,Employed,Mobile,Personal Interest,IT,Intermediate,Final Exam
22.0,1.0,105.8,14.333333333333334,76.0,31.0,5.0,25.3,740.6,73.37,Completed,Female,Region Xi,Broadband,Graduate,Student,Mobile,Skill Upgrade,Math,Intermediate,Quiz
9.0,3.0,134.8,20.666666666666668,25.0,44.0,12.0,141.0,808.8000000000001,1142.1,Ongoing,Male,Region Ix,Mobile,Graduate,Employed,Mobile,Personal Interest,IT,Beginner,Quiz
18.0,6.0,73.8,24.666666666666668,36.0,41.0,7.0,22.5,1918.8,400.5,Ongoing,Male,Car,Broadband,College,Unemployed,Mobile,Skill Upgrade,Business,Intermediate,Assignment
13.0,10.0,71.3,18.666666666666668,55.0,40.0,6.0,45.2,713.0,809.08,Ongoing,Other,Ncr,Broadband,College,Student,Tablet,Career Change,Science,Advanced,Quiz
16.0,3.0,50.1,18.666666666666668,39.0,25.0,18.0,146.1,651.3000000000001,2469.09,Ongoing,Male,Region Vii,Broadband,College,Employed,Laptop,Career Change,Arts,Intermediate,Final Exam
7.0,12.0,105.7,13.333333333333334,43.0,22.0,8.0,92.5,1057.0,-790.8750000000001,Ongoing,Non-Binary,Ncr,Mobile,College,Employed,Mobile,Personal Interest,Arts,Intermediate,Quiz
10.0,4.0,149.6,14.333333333333334,33.0,45.0,4.0,99.1,-897.5999999999999,1714.43,Completed,Male,Region Xi,Broadband,College,Employed,Desktop,Skill Upgrade,IT,Intermediate,Quiz
22.0,11.0,55.7,21.666666666666668,23.0,49.0,15.0,120.1,55.7,2305.92,Completed,Female,Region Xi,Limited,Graduate,Employed,Mobile,Academic Requirement,IT,Advanced,Quiz
12.0,9.0,146.9,18.33333333333333,45.0,20.0,15.0,94.6,2938.0,104.06,Ongoing,Female,Car,Mobile,College,Unemployed,Mobile,Personal Interest,Arts,Beginner,Assignment
14.0,5.0,117.8,19.666666666666668,38.0,12.0,27.0,100.1,2356.0,290.29,Completed,Male,Caraga,Broadband,Graduate,Student,Laptop,Skill Upgrade,Business,Beginner,Quiz
19.0,5.0,161.6,21.666666666666668,47.0,25.0,23.0,127.9,2747.2,792.98,Ongoing,Male,Region Xi,Broadband,High School,Student,Desktop,Skill Upgrade,IT,Advanced,Quiz
24.0,6.0,94.9,22.666666666666668,24.0,28.0,17.0,129.3,2182.7000000000003,181.02,Ongoing,Male,Region Xi,Broadband,College,Student,Laptop,Career Change,Arts,Beginner,Final Exam
19.0,6.0,123.7,3.333333333333333,55.0,4.0,3.0,119.5,371.1,573.6,Completed,Male,Region Ix,Mobile,Graduate,Student,Tablet,Academic Requirement,Business,Beginner,Assignment
16.0,2.0,261.9125,19.666666666666668,35.5,37.0,18.0,40.8,1047.65,734.4,Dropped,Male,Region I,Broadband,College,Employed,Laptop,Skill Upgrade,IT,Beginner,Assignment
24.0,10.0,154.8,5.0,20.0,20.0,-8.0,47.9,464.4,723.29,Completed,Female,Ncr,Broadband,College,Unemployed,Laptop,Skill Upgrade,IT,Intermediate,Assignment
5.0,9.0,71.8,13.333333333333334,17.0,25.0,11.0,174.0,287.2,2784.0,,Female,Ncr,Limited,Graduate,Student,Mobile,Career Change,Business,Beginner,Final Exam
4.0,3.0,142.8,24.0,23.0,46.0,3.0,112.1,3284.4,829.54,Dropped,Female,Region Vii,Broadband,College,Student,Laptop,Career Change,Science,Intermediate,Assignment
24.0,6.0,139.3,27.33333333333333,24.0,42.0,21.0,153.0,2646.7000000000003,1744.2,Completed,Other,Metro Manila,Broadband,Graduate,Employed,Tablet,Skill Upgrade,IT,Intermediate,Assignment
5.0,7.0,19.1,23.33333333333333,19.0,49.0,14.0,165.0,133.70000000000002,2722.5,Ongoing,Female,Region Vii,Broadband,Graduate,Student,Laptop,Personal Interest,Science,Intermediate,Quiz
22.0,0.0,261.9125,17.0,27.0,34.0,11.0,46.3,1571.475,277.79999999999995,Dropped,Male,Region Xi,Mobile,College,Employed,Tablet,Skill Upgrade,IT,Beginner,Assignment
10.0,0.0,21.1,23.666666666666668,55.0,43.0,3.0,150.9,527.5,1252.4700000000005,Completed,Female,Ncr,Limited,College,Employed,Mobile,Skill Upgrade,Arts,Advanced,Final Exam
-6.0,0.0,126.6,21.33333333333333,32.0,28.0,26.0,90.6,1266.0,869.7599999999999,Ongoing,Female,Car,Mobile,College,Employed,Laptop,Skill Upgrade,Arts,Beginner,Quiz
9.0,11.0,22.4,28.33333333333333,51.0,46.0,30.0,31.8,201.6,362.52,Ongoing,Male,Ncr,Limited,Graduate,Employed,Desktop,Skill Upgrade,IT,Beginner,Quiz
7.0,11.0,-72.1875,20.33333333333333,36.0,32.0,26.0,78.9,-216.5625,1144.0500000000002,Completed,Male,Ncr,Broadband,College,Student,Laptop,Skill Upgrade,Arts,Intermediate,Quiz
19.0,5.0,94.9,24.0,34.0,50.0,15.0,94.9,664.3000000000001,113.88,Ongoing,Male,Region Iii,Mobile,College,Employed,Desktop,Academic Requirement,Science,Beginner,Quiz
24.0,15.0,80.5,17.333333333333332,39.0,30.0,18.0,94.9,322.0,825.63,Dropped,Male,Region Iii,Broadband,College,Student,Desktop,Skill Upgrade,IT,Intermediate,Quiz
9.0,14.0,261.9125,13.666666666666666,41.0,1.0,27.0,126.3,3404.8625,2096.58,Ongoing,Female,Region I,Mobile,College,Employed,Laptop,Skill Upgrade,Arts,Beginner,Final Exam
12.0,13.0,102.4,14.0,54.0,25.0,16.0,11.2,102.4,122.08,Completed,Male,Metro Manila,Broadband,College,Student,Desktop,Career Change,IT,Intermediate,Final Exam
9.0,11.0,94.9,15.333333333333334,41.0,30.0,13.0,54.7,284.70000000000005,634.52,Dropped,Female,Region Vi,Limited,Graduate,Student,Laptop,Skill Upgrade,IT,Beginner,Final Exam
12.0,7.0,261.9125,21.33333333333333,16.0,35.0,11.0,148.6,4714.425,2362.74,Dropped,Non-Binary,Ncr,Limited,College,Student,Mobile,Academic Requirement,Science,Intermediate,Quiz
11.0,14.0,11.7,19.666666666666668,32.0,25.0,26.0,104.3,93.6,1063.86,Dropped,Female,Region Vii,Mobile,College,Employed,Tablet,Skill Upgrade,IT,Intermediate,Assignment
22.0,15.0,47.8,14.666666666666666,32.0,27.0,15.0,69.0,95.6,1090.2,Completed,Male,Caraga,Broadband,Graduate,Employed,Mobile,Career Change,IT,Intermediate,Quiz
9.0,15.0,104.4,23.0,55.0,47.0,15.0,81.7,730.8000000000001,1568.64,Ongoing,Male,Region Vi,Broadband,College,Employed,Desktop,Skill Upgrade,Science,Intermediate,Quiz
13.0,7.0,74.8,20.0,32.0,10.0,29.0,117.3,1570.8,926.67,Completed,Non-Binary,Ncr,Broadband,Hs,Employed,Laptop,Skill Upgrade,Business,Intermediate,Quiz
4.0,2.0,36.4,17.333333333333332,39.0,14.0,9.0,31.5,1055.6,107.1,Completed,Female,Region Iv-A,Broadband,College,Student,Mobile,Skill Upgrade,IT,Beginner,Quiz
12.0,9.0,94.9,26.0,50.0,48.0,0.0,145.7,2847.0,1355.01,Completed,Female,Region Iv-A,Broadband,Hs,Unemployed,Tablet,Academic Requirement,Arts,Beginner,Quiz
12.0,13.0,100.9,9.0,43.0,8.0,15.0,94.9,403.6,607.36,Completed,Female,Region Viii,Mobile,Graduate,Student,Laptop,Skill Upgrade,IT,Beginner,Quiz
7.0,0.0,37.0,24.0,19.0,33.0,15.0,43.8,888.0,788.4,Ongoing,Female,Ncr,Limited,Graduate,Student,Mobile,Personal Interest,Science,Advanced,Assignment
7.0,2.0,84.6,28.0,18.0,46.0,15.0,130.1,1945.8,2029.56,Ongoing,Other,Region Iii,Mobile,Graduate,Student,Laptop,Personal Interest,IT,Beginner,Final Exam
21.0,5.0,64.8,1.8333333333333333,49.0,-24.5,26.0,94.9,259.2,94.9,Ongoing,Female,Car,Broadband,Graduate,Employed,Desktop,Personal Interest,Science,Intermediate,Quiz
6.0,11.0,42.2,12.0,35.5,11.0,17.0,27.9,337.6,61.38,Ongoing,Male,Region I,Limited,High School,Employed,Mobile,Personal Interest,Math,Intermediate,Assignment
18.0,10.0,98.0,15.0,54.0,14.0,15.0,149.7,1568.0,1317.36,Completed,Female,Ncr,Broadband,Graduate,Employed,Laptop,Career Change,Arts,Beginner,Assignment
5.0,5.0,30.5,27.33333333333333,31.0,38.0,20.0,75.0,732.0,1125.0,Dropped,Female,Ncr,Limited,College,Unemployed,Laptop,Personal Interest,IT,Advanced,Quiz
10.0,12.0,22.2,22.666666666666668,48.0,36.0,21.0,72.1,244.2,187.46,Completed,Female,Region Xi,Broadband,High School,Student,Laptop,Career Change,Arts,Intermediate,Assignment
4.0,4.0,115.9,17.333333333333332,30.0,1.0,28.0,17.4,2665.7000000000003,262.73999999999995,Ongoing,Female,Ncr,Broadband,College,Student,Mobile,Academic Requirement,IT,Intermediate,Assignment
13.0,2.0,70.4,16.0,35.5,3.0,28.0,180.0,1196.8000000000002,522.0,Completed,Non-Binary,Region Xi,Mobile,College,Unemployed,Mobile,Academic Requirement,Science,Advanced,Final Exam
17.0,4.0,104.7,12.333333333333334,30.0,9.0,24.0,175.4,418.8,1666.3,Ongoing,Female,Ncr,Broadband,College,Student,Laptop,Skill Upgrade,IT,Intermediate,Assignment
8.0,15.0,171.5,25.0,55.0,48.0,5.0,177.6,3773.0,1864.8,Completed,Female,Region Vi,Mobile,College,Student,Laptop,Career Change,Arts,Beginner,Assignment
18.0,7.0,60.1,17.333333333333332,52.0,9.0,20.0,132.8,1382.3,411.68000000000006,Dropped,Female,Region I,Broadband,College,Student,Desktop,Career Change,IT,Beginner,Quiz
9.0,14.0,122.1,30.0,45.0,49.0,13.0,134.1,3418.8,1998.09,Completed,Female,Region Ii,Broadband,High School,Student,Laptop,Career Change,Arts,Beginner,Assignment
8.0,0.0,24.9,15.333333333333334,16.0,18.0,22.0,107.3,149.39999999999998,1030.08,Completed,Male,Region Vii,Mobile,Graduate,Employed,Desktop,Academic Requirement,Business,Advanced,Assignment
14.0,1.0,117.4,11.666666666666666,46.0,14.0,15.0,14.1,704.4000000000001,155.1,Ongoing,Other,Ncr,Broadband,College,Unemployed,Laptop,Academic Requirement,IT,Intermediate,Quiz
19.0,12.0,161.6,12.666666666666666,32.0,26.0,1.0,60.9,1777.6,66.99000000000001,Ongoing,Female,Region Xi,Limited,Graduate,Employed,Laptop,Skill Upgrade,IT,Beginner,Assignment
15.0,9.0,143.4,23.33333333333333,37.0,25.0,15.0,36.2,4302.0,166.52,Dropped,Non-Binary,Region Vi,Mobile,Graduate,Student,Laptop,Skill Upgrade,Science,Beginner,Assignment
13.0,2.0,64.3,4.666666666666667,18.0,10.0,0.0,105.1,257.2,1965.37,Completed,Other,Ncr,Limited,High School,Student,Laptop,Academic Requirement,IT,Advanced,Final Exam
18.0,14.0,62.8,14.333333333333334,19.0,14.0,4.0,114.9,1570.0,229.8,Ongoing,Male,Ncr,Limited,High School,Student,Laptop,Skill Upgrade,Business,Beginner,Assignment
11.0,10.0,110.5,14.0,26.0,21.0,7.0,123.8,1547.0,1077.06,Dropped,Female,Region X,Limited,High School,Unemployed,Mobile,Career Change,Business,Advanced,Final Exam
14.0,0.0,109.1,8.666666666666666,22.0,8.0,1.0,268.7875,1854.7,3628.63125,Dropped,Female,Region Ix,Broadband,College,Unemployed,Mobile,Career Change,Science,Advanced,Final Exam
19.0,13.0,161.9,18.0,40.0,11.0,13.0,86.5,4857.0,1003.4,Completed,Male,Region I,Mobile,Graduate,Student,Mobile,Personal Interest,IT,Beginner,Quiz
21.0,8.0,89.7,22.33333333333333,52.0,21.0,30.0,60.1,1435.2,222.37,Dropped,Female,Ncr,Limited,Graduate,Employed,Mobile,Skill Upgrade,Arts,Advanced,Final Exam
9.0,7.0,24.3,24.666666666666668,35.5,31.0,13.0,50.5,729.0,292.9,Ongoing,Male,Ncr,Mobile,Graduate,Student,Laptop,Skill Upgrade,Math,Beginner,Quiz
17.0,14.0,109.3,30.666666666666668,50.0,46.0,24.0,67.4,2404.6,748.14,Completed,Other,Region V,Broadband,Graduate,Employed,Mobile,Skill Upgrade,Arts,Intermediate,Quiz
9.0,3.0,57.0,27.666666666666668,35.5,49.0,5.0,-57.1,1653.0,-1090.61,Completed,Non-Binary,Ncr,Mobile,Graduate,Employed,Laptop,Career Change,IT,Intermediate,Assignment
12.0,8.0,169.8,28.33333333333333,29.0,46.0,25.0,48.4,2377.2000000000003,-82.28,Ongoing,Male,Ncr,Broadband,High School,Employed,Mobile,Career Change,Arts,Beginner,Final Exam
18.0,6.0,20.7,17.666666666666668,37.0,28.0,15.0,19.5,207.0,204.75,Completed,Female,Region Viii,Broadband,College,Unemployed,Laptop,Personal Interest,IT,Beginner,Quiz
7.0,0.0,152.1,20.0,35.5,43.0,4.0,174.0,1977.3,330.6,Completed,Male,Region Iii,Broadband,High School,Unemployed,Tablet,Career Change,Business,Beginner,Quiz
10.0,5.0,94.9,21.666666666666668,18.0,39.0,20.0,61.2,569.4000000000001,1083.24,Dropped,Non-Binary,Region X,Broadband,College,Student,Mobile,Career Change,Business,Intermediate,Final Exam
5.0,1.0,22.0,19.33333333333333,29.0,20.0,23.0,65.4,330.0,287.76000000000005,Completed,Male,Ncr,Mobile,College,Unemployed,Desktop,Career Change,Business,Intermediate,Assignment
9.0,10.0,118.5,14.333333333333334,55.0,35.0,2.0,98.7,711.0,1283.1,Ongoing,Female,Region Xi,Mobile,College,Employed,Mobile,Skill Upgrade,IT,Intermediate,Quiz
4.0,1.0,120.1,17.666666666666668,53.0,10.0,27.0,109.2,1921.6,2162.1600000000003,Completed,Female,Metro Manila,Mobile,College,Student,Mobile,Personal Interest,Arts,Advanced,Assignment
